Distance,Velocity,Y-H2,Y-H,Y-O,Y-O2,Y-OH,Y-H2O,Y-HO2,Y-H2O2,Y-AR,Y-N2,Y_dot_net-H2,Y_dot_net-H,Y_dot_net-O,Y_dot_net-O2,Y_dot_net-OH,Y_dot_net-H2O,Y_dot_net-HO2,Y_dot_net-H2O2,Y_dot_net-AR,Y_dot_net-N2,Y_dot_pos-H2,Y_dot_pos-H,Y_dot_pos-O,Y_dot_pos-O2,Y_dot_pos-OH,Y_dot_pos-H2O,Y_dot_pos-HO2,Y_dot_pos-H2O2,Y_dot_pos-AR,Y_dot_pos-N2,Y_dot_neg-H2,Y_dot_neg-H,Y_dot_neg-O,Y_dot_neg-O2,Y_dot_neg-OH,Y_dot_neg-H2O,Y_dot_neg-HO2,Y_dot_neg-H2O2,Y_dot_neg-AR,Y_dot_neg-N2,Cp-H2,Cp-H,Cp-O,Cp-O2,Cp-OH,Cp-H2O,Cp-HO2,Cp-H2O2,Cp-AR,Cp-N2,h-H2,h-H,h-O,h-O2,h-OH,h-H2O,h-HO2,h-H2O2,h-AR,h-N2,Le-H2,Le-H,Le-O,Le-O2,Le-OH,Le-H2O,Le-HO2,Le-H2O2,Le-AR,Le-N2,EnthalpyTot,MixtureFraction,Temperature,Density,MolarWeightMix,Cp,Conductivity,ViscosityDyn,Heat_Release
0.0,0.25052648219141654,0.010005575930647248,1.119435428852685e-18,7.205756402604893e-18,0.23066821528945378,3.40248957893766e-21,5.934388787829346e-09,2.6205727992185324e-12,4.540786303280072e-12,8.447982403547957e-26,0.7593262028383488,-8.618379351394496e-16,-1.5825577139852516e-12,-6.4297547123592715e-15,-5.025037717357435e-11,6.661467180254667e-15,3.53656209314583e-16,5.183307333023522e-11,1.3802658232895991e-16,0.0,0.0,-1.7236770523025122e-15,-3.165546347529091e-12,-1.2934964630417868e-14,-1.0050084366049209e-10,6.327600826254062e-15,3.5365620927656836e-16,5.1832847204057514e-11,1.380261344080278e-16,0.0,0.0,8.61358828592641e-14,0.15829884563385035,0.0006505205230566171,2.1784738058376402e-10,3.3386635388700735e-05,6.3950573709414714e-18,1.791726740912383e-05,3.080445051278901e-11,0.0,0.0,14538.377805735772,20621.187049695265,1335.8534232725513,950.9172119478166,1735.9714134292958,1918.347072397368,1151.0094228714993,1401.0098849456804,520.30429400208,1049.9346009717146,1955122.073063722,219054689.96958742,15756840.86824296,126134.2335782622,2549390.762128673,-13168198.336598393,529336.9177914888,-3815877.6835836675,70336.46881084784,141129.21613064586,0.364586847906219,0.24260773642423483,0.8974514382312243,1.4332137696322909,0.9144334661012017,1.1885916965255467,1.3917785139455026,1.4011799432654914,1.4364019935195997,1.3810500426983765,155820.3145350122,0.01000560084246108,433.3333333333333,0.7160119875839527,25.460091706197186,1162.0540843897966,0.050292326163991354,2.4272824768215662e-05,0.00032565902157650453
0.002,0.2504685619413921,0.009985584341382013,2.4004104533103817e-22,1.5389439572068724e-18,0.23067217166675863,1.5152438402737952e-20,6.440176707589062e-08,3.2860333051726106e-11,5.727967981673136e-11,8.449337484900919e-26,0.7593421794999843,-3.8278292037900393e-16,-1.4820032271651783e-16,-1.3872398414237057e-15,3.2648728071616603e-15,-9.888409465764325e-18,1.5725543166866401e-15,-1.837896531633306e-14,1.546964968646975e-14,0.0,0.0,-7.655658439377568e-16,-4.877921072941501e-16,-2.7744958748587355e-15,-7.51514799070305e-15,-1.4944530049414284e-15,1.572554316622208e-15,-4.7877510055849686e-14,1.5469649353873532e-14,0.0,0.0,3.833355265841555e-14,3.395917845694808e-05,0.00013872558199441338,4.673307889505967e-14,0.00014845645932261867,1.0003169535806735e-18,0.0006882481455269196,4.943486964433095e-12,0.0,0.0,14538.378146593917,20621.187049695265,1335.8531949336757,950.9176660525285,1735.9713073563157,1918.3478508017954,1151.0105574149238,1401.0116137054852,520.30429400208,1049.9347628929036,1955144.368628945,219054721.59354308,15756842.916862458,126135.69187311578,2549393.424355694,-13168195.394685546,529338.6829415178,-3815875.535040922,70337.26673193241,141130.82627499753,0.3644745327499235,0.2424998296040253,0.8971165255638003,1.432676555060557,0.9140934072639505,1.1881568651702523,1.391275276871673,1.4006739101148957,1.4358871564457099,1.380299610647962,155784.99392364293,0.009985695140025001,433.334866899544,0.7161775571290162,25.46606918393859,1161.7843191253012,0.050265275949603214,2.427315738884305e-05,1.4415094660842807e-07
0.003,0.25036891641589964,0.009950614425308441,2.7793063537328804e-21,3.372163664779058e-17,0.23067901297618795,3.32844792772061e-19,3.0959740635813425e-07,1.78782196728147e-10,3.1330046499277344e-10,8.451431633816029e-26,0.7593700625090778,-7.849561270926067e-15,-1.0122860913894587e-17,-3.032069255639139e-14,2.9115525209278833e-13,-2.9311229289724755e-16,3.4452258891884876e-14,-7.323392373174049e-13,4.452052153138604e-13,0.0,0.0,-1.569912274232248e-14,-3.945026457971553e-15,-6.06415729743913e-14,1.6624549497717098e-13,-3.281765085495039e-14,3.445225888543243e-14,-1.5935227577212787e-12,4.4520520414785834e-13,0.0,0.0,7.888519369762014e-13,0.00039349035959640287,0.003032077817137349,5.414873052326455e-13,0.0032524537479490852,2.0840740067404065e-17,0.0045617835544312915,3.4537537918735675e-11,0.0,0.0,14538.37937751943,20621.18704969527,1335.8523701939228,950.9193062905644,1735.9709242413796,1918.3506624278516,1151.0146553926668,1401.0178579800581,520.30429400208,1049.9353477602915,1955224.9003371075,219054835.8194444,15756850.316484397,126140.95924792194,2549403.0403329334,-13168184.76847027,529345.0586875916,-3815867.7744706627,70340.14882726404,141136.64212729075,0.364277770736552,0.24231083790719019,0.8965298785132015,1.4317354361351033,0.9134977406196564,1.1873937335589584,1.3903935902962976,1.3997873216288896,1.43498499448546,1.378986123058327,155724.62389099307,0.00995088515083032,433.34040614910407,0.7164625824135511,25.476529861790834,1161.3129997699932,0.05021818175368069,2.427384950335115e-05,2.999522493452924e-06
0.004,0.2501115558677873,0.009857462842629951,6.550187202569382e-20,8.145527941495276e-16,0.230696847518195,8.045149789207062e-18,1.7614842192006602e-06,1.1657107361107588e-09,2.0547731269434907e-09,8.456321966036833e-26,0.7594439249348081,-1.8533457229084932e-13,-2.4325494225387787e-16,-7.277692033119883e-13,1.477393150859881e-11,-7.044089442186406e-15,8.269472426203036e-13,-3.353877433329029e-11,1.8858286702058458e-11,0.0,0.0,-3.7066917545369024e-13,-9.315381146906889e-14,-1.4555428782633557e-12,1.1824576459104297e-11,-7.877208042270191e-13,8.269472417418553e-13,-7.011980655442198e-11,1.8858285137623033e-11,0.0,0.0,1.8801450833100934e-11,0.009291055591823348,0.07277143987716811,1.2784548558402181e-11,0.07806760867192272,4.986948959986238e-16,0.031113973103742712,7.576790912118497e-10,0.0,0.0,14538.385719181031,20621.187049695258,1335.8481174502456,950.9277654205835,1735.9689490015164,1918.3651629316748,1151.0357891566512,1401.0500600484538,520.30429400208,1049.9383641675654,1955640.211820475,219055424.89568815,15756888.477121897,126168.12385601328,2549452.631011057,-13168129.967596265,529377.9395112208,-3815827.7517590704,70355.01212773182,141166.6352046917,0.3637517566072981,0.24180602931215409,0.8949622893068044,1.4292201501466026,0.9119060177852503,1.1853474382954021,1.3880366016995038,1.3974172105170202,1.4325725157482052,1.3754823845195179,155569.17998545183,0.009858207090982028,433.36897270263654,0.7171997888108723,25.504425201508663,1160.060330332324,0.05009377009506387,2.4276224357018592e-05,0.00011064108134836333
0.0045000000000000005,0.2498382427705203,0.009752860641513074,6.309322556740584e-19,7.943066328641495e-15,0.2307160826211914,7.857283793866651e-17,5.165150025636913e-06,3.791395548346443e-09,6.712370082736321e-09,8.461001493896141e-26,0.7595258810845681,-1.7880231878309493e-12,-2.5949294787448393e-15,-7.0529591199145305e-12,1.5939562458080476e-10,-6.834649903591286e-14,8.01423808804737e-12,-3.5823239839685356e-10,1.9973445946426157e-10,0.0,0.0,-3.576047345114262e-12,-8.99201937630178e-13,-1.4105962269370037e-11,1.3093375452987462e-10,-7.634159650654302e-12,8.014238062886226e-12,-7.458232311076182e-10,1.997344097241093e-10,0.0,0.0,1.833333030351373e-10,0.08966069515816086,0.7047405348642599,1.2336318182216862e-10,0.7565753705344413,4.8713195121231794e-15,0.10196014273741166,7.399198747076253e-09,0.0,0.0,14538.39876781232,20621.187049695243,1335.8393472393823,950.9452170999996,1735.9648770487154,1918.395079504349,1151.0793863686029,1401.116488109267,520.30429400208,1049.944587697842,1956496.9640130363,219056640.1089605,15756967.198828315,126224.16285330389,2549554.9321068986,-13168016.91683063,529445.7717099466,-3815745.1854651626,70385.67382932187,141228.50859799233,0.3631577966410245,0.24123668205215668,0.8931932975592399,1.4263807530240993,0.9101097335698064,1.183024452778709,1.3853748938235289,1.3947406501302564,1.4298467087842721,1.3715397302875587,155402.0556602202,0.009754233249868141,433.42790302849295,0.7179843576260283,25.53579727801526,1158.6593430384805,0.04995610253988005,2.4279921582992505e-05,0.0011525866712690837
0.004750000000000001,0.2496329026065675,0.009668044525133724,2.3798676278871105e-18,3.015263747671163e-14,0.23073077279218518,2.9896565092927425e-16,1.0004003724908771e-05,7.939991553126337e-09,1.4102947951003803e-08,8.464196632521326e-26,0.7595911566372631,-6.750381691242519e-12,-1.1050767639835931e-14,-2.6670274163429027e-11,7.175521325713217e-10,-2.607411790046341e-13,3.030794743882251e-11,-1.5911602615318693e-09,8.769926293230412e-10,0.0,0.0,-1.350077105481011e-11,-3.3972962173942834e-12,-5.334071969842257e-11,6.100595142652089e-10,-2.8872846531951743e-11,3.030794725301271e-11,-3.2931994180216756e-09,8.769922314919989e-10,0.0,0.0,6.982166185764493e-10,0.3386244643873047,2.6590268861255377,4.658789852806953e-10,2.8611249974849846,1.8573525053620538e-14,0.2140932031330874,2.8189081662006506e-08,0.0,0.0,14538.415451825587,20621.187049695225,1335.8280945683425,950.9676221198588,1735.9596554305124,1918.4334896927385,1151.1353519747329,1401.201757362522,520.30429400208,1049.9525786635334,1957596.7719612347,219058200.06977588,15757068.252577288,126296.10123142763,2549686.254959697,-13167871.791765641,529532.8511969718,-3815639.1899507996,70425.03404213327,141307.93557975005,0.3626736386960528,0.24077289079381425,0.8917517477341179,1.4240659630510042,0.9086458935729937,1.1811172528503402,1.3832040772608636,1.3925576910766861,1.4276221822130681,1.368336944439583,155271.00697514077,0.009670037216735254,433.5035514774201,0.7185749366787385,25.56126234720347,1157.529456823412,0.04984665366440033,2.4283986559397802e-05,0.004933871630300377
0.005,0.24937076423511498,0.009548185585896242,8.42093961141937e-18,1.0740359003400252e-13,0.23074982084157805,1.0707314731075632e-15,2.0780920694938645e-05,1.805631486036027e-08,3.21894931633021e-08,8.467866379488711e-26,0.7596811624074483,-2.3918194333000352e-11,-3.894268938605539e-14,-9.469802736193259e-11,3.892413079517772e-09,-9.504852556122694e-13,1.0764245739931626e-10,-8.42193870316048e-09,4.541488815883327e-09,0.0,0.0,-4.783645056030646e-11,-1.2037013496441937e-11,-1.8939670502361455e-10,3.5115499309625605e-09,-1.0256990158666024e-10,1.0764245601219808e-10,-1.72367404299328e-08,4.541485563343518e-09,0.0,0.0,2.505005373752479e-09,1.1998060703561417,9.369238778102792,1.650545803891169e-09,10.160853678522074,6.67495698777893e-14,0.4879136556018451,1.0101214302980219e-07,0.0,0.0,14538.449397425848,20621.18704969519,1335.8050622189035,951.0135289916053,1735.9489779167477,1918.5121986619138,1151.2500023418363,1401.3764238968186,520.30429400208,1049.9689553090195,1959849.8160242557,219061395.76801997,15757275.266202483,126443.47775743011,2549955.2785683447,-13167574.482969763,529711.2533620829,-3815422.0299453815,70505.66642836487,141470.64967419146,0.3619855332396942,0.24011404264394096,0.8897032717168664,1.4207749652130561,0.9065656626823927,1.1783827434471568,1.3801163244720533,1.3894526193182877,1.424455612439828,1.3638025828028122,155088.65962277746,0.009551263254093716,433.658523072237,0.7193302891925466,25.59727927482252,1155.9435852183308,0.04969576011827249,2.4291567258463226e-05,0.024264125499612373
0.0052499999999999995,0.2490586254017146,0.009379009927999372,2.952490682914115e-17,3.7827872468378224e-13,0.230772889153002,3.8192265879671955e-15,4.475648865637296e-05,4.2709416109846894e-08,7.640290331771013e-08,8.471556789237515e-26,0.7598032253194835,-8.394113230446258e-11,-1.388652608178478e-13,-3.338079820488017e-10,2.260193578224458e-08,-3.5507276207210613e-12,3.796662363072419e-10,-4.7996753128193997e-08,2.5436589816876982e-08,0.0,0.0,-1.6788277966953475e-10,-4.224855425426719e-11,-6.676186100937323e-10,2.1265238605911326e-08,-3.619726696535377e-10,3.796662256059564e-10,-9.737233423982643e-08,2.5436562339316344e-08,0.0,0.0,8.949947587215977e-09,4.210956466535201,32.16435373343682,5.792262605808534e-09,35.82851048329716,2.391001481974933e-13,1.1558112354501795,3.595932027561004e-07,0.0,0.0,14538.5181127784,20621.18704969511,1335.757856954109,951.1078160686035,1735.9271374281714,1918.6738919417714,1151.4853932949434,1401.7349726899902,520.30429400208,1050.0026058105698,1964475.558103315,219067956.8574392,15757700.274788033,126746.07886736516,2550507.605877888,-13166964.039912893,530077.5866095357,-3814976.0938174594,70671.21281470724,141804.726008317,0.36100645384404206,0.23917715508125803,0.8867890253967584,1.416089793636197,0.9036060767882338,1.1744426813877427,1.375717541558421,1.3850290663884273,1.4199396250581138,1.357387199554136,154828.50685180444,0.009384084269425642,433.97669531922924,0.7202317968442411,25.6481633959471,1153.728200199717,0.04949054198620405,2.430605601483266e-05,0.13008075358828547
0.0055,0.2487388340548866,0.009140690709336012,1.0404644972001504e-16,1.3284658473053579e-12,0.23079681768551255,1.3804802382780008e-14,9.799478309961125e-05,1.0274105099408515e-07,1.8427291229112533e-07,8.47419538957137e-26,0.7599642098116495,-2.956546149867133e-10,-5.087112497398869e-13,-1.1881299884954776e-09,1.338106637756536e-07,-1.3513337505358878e-11,1.3524300078256043e-09,-2.808205545371899e-07,1.4715526740594815e-07,0.0,0.0,-5.913136157676834e-10,-1.4884692352587462e-10,-2.3762723941211943e-09,1.2910210463421356e-07,-1.2902644630146695e-09,1.3524299228303311e-09,-5.664982105457278e-07,1.471550298858154e-07,0.0,0.0,3.234536752846694e-08,14.833666888575863,104.88113939173273,2.0401317437799246e-08,127.49910255944958,8.673447895024059e-13,2.7802893814193967,1.2888885343518746e-06,0.0,0.0,14538.65548655286,20621.187049694945,1335.6610018013257,951.3021192494414,1735.882508994743,1919.007250763638,1151.970110686217,1402.4730330126904,520.30429400208,1050.0720150594368,1974000.8035281813,219081467.23943698,15758575.39143666,127369.27976327411,2551644.9185211738,-13165706.873269882,530832.1640176382,-3814057.477395624,71012.10055070862,142492.678887253,0.3596115604417647,0.23784334495829934,0.8826375900938509,1.4094090718950998,0.8993897197650378,1.1687279920542506,1.3694391737549338,1.378715145092118,1.4134839792963312,1.3483223705690466,154438.67250215664,0.009149621746169727,434.63186526483815,0.7211577622125617,25.719908471967155,1150.656433575913,0.04921745212544113,2.433432961318099e-05,0.7305423487253696
0.005625,0.24862355705363545,0.008985170688422037,2.1428287713086686e-16,2.704403580679325e-12,0.23080505367837917,2.894474728850076e-14,0.00014894923285578882,1.6516225213761895e-07,2.963429655613427e-07,8.474266349735258e-26,0.7600603648976192,-6.074591710519541e-10,-1.2571545391191836e-12,-2.4656841258846463e-09,3.477689810854577e-07,-3.2459545997883335e-11,2.81164507242563e-09,-7.271425706207171e-07,3.7966880446030763e-07,0.0,0.0,-1.2149329003093911e-09,-3.0625117642123284e-10,-4.931400384496217e-09,3.380882188253748e-07,-2.686764133376372e-09,2.8116448020322784e-09,-1.4642715973590097e-06,3.7966801235511824e-07,0.0,0.0,6.760847953218301e-08,30.498748652250356,194.0835902254709,4.1943458799447676e-08,264.66439433681455,1.8153388760320073e-12,4.462789707100004,2.672843809342269e-06,0.0,0.0,14538.774296975078,20621.187049694796,1335.5743173518076,951.4769906742779,1735.842778573113,1919.3074414619148,1152.4059316616097,1403.136339116268,520.30429400208,1050.1345568037375,1982565.1199663905,219093614.55562353,15759362.163293904,127929.714502029,2552667.4625658575,-13164576.355875595,531510.8830535825,-3813231.1276656743,71318.59603795907,143111.26289418543,0.3586914371808489,0.23696327503094844,0.8798976822751391,1.4049948375792944,0.8966067328230205,1.164878085769095,1.3652866092043983,1.374538925049369,1.4092066359732984,1.3423936927782152,154151.81357779927,0.008997517319164344,435.22093495114217,0.7214921430471193,25.766709210973875,1148.6912065191614,0.049051821781899985,2.435889822590524e-05,1.8671934524101526
