Density,Energy,s,dsdrho_e,dsde_rho,d2sdrho2,d2sde2,d2sdedrho,T,p,c2
16.613860535494858,299999.9999999991,770.6221448997662,-2.7271125214900382,0.002234046293883743,0.18460384020633322,-2.679177885798639e-09,-1.0840912088877604e-06,447.6182981246847,336939.5643971553,18573.39235122974
16.613860535494858,344444.4444444449,867.3801930464512,-2.770251143757484,0.0021224841647981335,0.18470785926770406,-2.352400310164138e-09,-8.697364375356294e-07,471.1460356619944,360259.8011876389,20164.47691779283
3.1125046262034464,333333.3333333326,924.9902304257785,-16.1185690420667,0.002161612302587817,5.284732894376201,-2.488112698261028e-09,-9.461426162655734e-07,462.6176483187249,72238.49536721605,23416.948684561845
16.613860535494858,311111.11111111136,795.2813387942629,-2.738814377232557,0.002204771904044019,0.18463205912425892,-2.59099221515898e-09,-1.023165206993663e-06,453.56165785938595,342878.3422786406,18980.456869928974
20.0,333333.33333333366,835.2367029243433,-2.2413277595779055,0.0021459471228363987,0.12717976278309376,-2.4130810489932422e-09,-9.089955998635433e-07,465.99470665346746,417778.7487355118,18916.43335925484
0.7962488162619437,377777.7777777783,1087.829070250817,-64.01094044537497,0.0020596781765110685,80.76196942603849,-2.1978910005806986e-09,-7.793922918393641e-07,485.5127424294608,19703.911121613408,25299.97926489261
3.1125046262034464,366666.66666666657,995.705797926423,-16.147792764500906,0.0020825934404258657,5.284800614626134,-2.2590745081956843e-09,-8.128462120314114e-07,480.17053189004184,75115.34776230498,24373.707494380185
16.613860535494858,322222.2222222222,819.6206105798117,-2.7498689276963506,0.0021764519381382826,0.18465869629077855,-2.507330010597098e-09,-9.6748020041688e-07,459.46339658453064,348741.8230011426,19381.04174586984
10.249999999999998,400000.0000000005,1004.8482929965869,-4.7222441414573115,0.002005631628865774,0.4866860747551858,-2.042990997267427e-09,-6.964929247762109e-07,498.5960460573314,247368.84279813178,23537.734946413373
10.249999999999998,355555.5555555564,913.6094537581344,-4.688279276949871,0.0021020505079152765,0.4866056030418627,-2.3043610390728395e-09,-8.394656995227013e-07,475.7259619759361,234324.69375964126,22160.956945870443
20.0,322222.22222222213,811.2423038751119,-2.2309509449025873,0.0021731893029934427,0.12715442742272,-2.491167764574419e-09,-9.595664183438005e-07,460.153194488192,410631.68161735055,18504.814644883936
3.1125046262034464,399999.99999999977,1063.9082636242263,-16.173076171372994,0.0020106447025280373,5.2848593891326345,-2.062736522327062e-09,-7.082206857122327e-07,497.35291309432915,77925.08940580463,25306.714686763073
7.465641611112483,366666.6666666667,952.2217732374031,-6.558443037275249,0.002079072928218986,0.9179626342723876,-2.2438106045769637e-09,-8.04610983493856e-07,480.98360881291376,175818.79648108548,23226.689053147064
7.465641611112483,322222.2222222225,857.5063328654854,-6.51882253505784,0.002185399841966208,0.9178697612361917,-2.5516438806515532e-09,-9.886884287467143e-07,457.5821690827517,166254.16204690337,21858.8520090159
7.465641611112483,311111.111111111,833.064821685825,-6.507525794875222,0.0022142347540259487,0.9178434310423289,-2.639445063445613e-09,-1.0455736354984255e-06,451.62329702475665,163804.75733202242,21507.283367978427
3.1125046262034464,322222.2222222225,900.8170049961793,-16.107768569602186,0.002189725563797444,5.284708007474201,-2.573054738485899e-09,-9.987098189115532e-07,456.67823243831054,71263.26299081136,23092.210761561037
3.1125046262034464,311111.11111111153,876.3260684299728,-16.0963574440701,0.002218809319784035,5.284681779512076,-2.6628641826989212e-09,-1.0561521318412001e-06,450.6921757915338,70279.33403289392,22764.34084140568
5.06213335917993,344444.44444444455,924.5795171862836,-9.794295914642918,0.002132670783098923,1.9974343051295915,-2.399594315505233e-09,-8.93879919169816e-07,468.89562511234317,117683.76831824184,23202.2236843417
13.330607205149459,388888.888888889,969.843382750522,-3.5620743158225703,0.0020264309711847594,0.2874319637434512,-2.0945787121539993e-09,-7.228285860517709e-07,493.47844274969145,312371.22822746495,22449.713583271885
0.7962488162619437,299999.9999999997,920.4596982437575,-63.93821943424404,0.0022515187253580515,80.76180257397968,-2.77170162692228e-09,-1.1250084163370874e-06,444.14465166883014,18004.562549682803,23128.90001685402
0.5,322222.222222222,993.54823118388,-102.06344541274254,0.002192342535411916,204.8172485337736,-2.5860030702920107e-09,-1.0047081657598952e-06,456.1331013960879,11638.628973821145,23848.324446035364
13.330607205149459,333333.3333333342,853.8635486334298,-3.516717583352901,0.0021520588042760764,0.2873235620042746,-2.442367175511165e-09,-9.23740761079625e-07,464.67131753696964,290391.04693130864,20629.81679116255
20.0,377777.77777777787,928.3243443874569,-2.277873623931326,0.002045043902999036,0.12726894443780445,-2.136479904651232e-09,-7.446809370089407e-07,488.9870572135444,445540.2880282126,20503.813551736373
10.249999999999998,322222.2222222221,842.2193063676904,-4.658019036855245,0.0021826559282795603,0.4865341156448905,-2.5380578140028595e-09,-9.822571294104488e-07,458.15741594610023,224214.50798493545,21087.9901405008
0.7962488162619437,400000.0000000009,1133.0678619919015,-64.02749264221002,0.0020122895275368905,80.76200765784301,-2.069220553446565e-09,-7.120236441286471e-07,496.94638187777747,20173.14579634356,25899.076351500044
3.1125046262034464,355555.55555555446,972.4249521358691,-16.138537616222983,0.0021080927915772462,5.284779112782153,-2.3314334527045038e-09,-8.536350524521832e-07,474.36242085520985,74164.22568691509,24057.572893096964
20.0,344444.4444444439,858.9331515357438,-2.251166358034007,0.002119551167653059,0.12720378797581766,-2.338805139112244e-09,-8.626144411850393e-07,471.7979991524725,424838.3133919214,19321.73016485561
