epoch,loss,validation_loss
0.0,0.5223696827888489,0.5864948630332947
1.0,0.4747993052005768,0.5358310341835022
2.0,0.4395177364349365,0.49776384234428406
3.0,0.4127480983734131,0.4688416123390198
4.0,0.3922460675239563,0.4466727077960968
5.0,0.37642207741737366,0.4295477867126465
6.0,0.36412522196769714,0.41622796654701233
7.0,0.35451164841651917,0.4058040976524353
8.0,0.34695595502853394,0.397603303194046
9.0,0.3409903049468994,0.39112144708633423
10.0,0.3362615406513214,0.3859782814979553
11.0,0.33250054717063904,0.3818838596343994
12.0,0.32950088381767273,0.37861523032188416
13.0,0.3271028399467468,0.3760000467300415
14.0,0.32518211007118225,0.37390390038490295
15.0,0.32364121079444885,0.3722212314605713
16.0,0.32240352034568787,0.3708687722682953
17.0,0.32140839099884033,0.36978092789649963
18.0,0.3206076920032501,0.36890527606010437
19.0,0.3199629783630371,0.36819982528686523
20.0,0.31944364309310913,0.36763155460357666
21.0,0.3190251886844635,0.36717334389686584
22.0,0.31868791580200195,0.3668040633201599
23.0,0.318416029214859,0.3665062189102173
24.0,0.31819677352905273,0.36626604199409485
25.0,0.3180200159549713,0.36607247591018677
26.0,0.3178774416446686,0.3659161627292633
27.0,0.3177625238895416,0.36579009890556335
28.0,0.3176697790622711,0.3656884729862213
29.0,0.317594975233078,0.365606427192688
30.0,0.3175346553325653,0.3655402958393097
31.0,0.3174860179424286,0.3654870092868805
32.0,0.31744682788848877,0.3654440939426422
33.0,0.3174152672290802,0.3654094338417053
34.0,0.3173898160457611,0.36538153886795044
35.0,0.31736934185028076,0.36535903811454773
36.0,0.3173527717590332,0.36534085869789124
37.0,0.31733939051628113,0.36532631516456604
38.0,0.31732869148254395,0.36531439423561096
39.0,0.31731992959976196,0.36530494689941406
40.0,0.31731298565864563,0.3652973771095276
41.0,0.31730741262435913,0.36529111862182617
42.0,0.3173028230667114,0.3652860224246979
43.0,0.317298948764801,0.3652817904949188
44.0,0.31729593873023987,0.3652786314487457
45.0,0.31729361414909363,0.3652760684490204
46.0,0.31729182600975037,0.3652742803096771
47.0,0.3172904849052429,0.36527279019355774
48.0,0.3172893524169922,0.36527153849601746
49.0,0.3172883689403534,0.3652704358100891
50.0,0.31728750467300415,0.3652695119380951
51.0,0.3172869086265564,0.36526912450790405
52.0,0.3172866106033325,0.3652688264846802
53.0,0.3172864019870758,0.36526861786842346
54.0,0.31728625297546387,0.3652684986591339
55.0,0.3172861635684967,0.36526837944984436
56.0,0.31728607416152954,0.3652683198451996
57.0,0.3172859847545624,0.3652682602405548
58.0,0.31728595495224,0.3652682602405548
59.0,0.3172858953475952,0.36526817083358765
60.0,0.3172858953475952,0.36526817083358765
61.0,0.3172858655452728,0.36526814103126526
62.0,0.3172858655452728,0.36526814103126526
63.0,0.3172858655452728,0.36526814103126526
64.0,0.31728583574295044,0.36526814103126526
65.0,0.31728583574295044,0.36526814103126526
66.0,0.31728583574295044,0.36526814103126526
67.0,0.31728583574295044,0.36526814103126526
68.0,0.31728583574295044,0.36526814103126526
69.0,0.31728583574295044,0.36526814103126526
70.0,0.31728583574295044,0.36526814103126526
71.0,0.31728583574295044,0.36526814103126526
72.0,0.31728583574295044,0.36526814103126526
73.0,0.31728583574295044,0.36526814103126526
74.0,0.31728583574295044,0.36526814103126526
75.0,0.31728583574295044,0.36526814103126526
76.0,0.31728583574295044,0.36526814103126526
77.0,0.31728583574295044,0.36526814103126526
78.0,0.31728583574295044,0.36526814103126526
79.0,0.31728583574295044,0.36526814103126526
80.0,0.31728583574295044,0.36526814103126526
81.0,0.31728583574295044,0.36526814103126526
82.0,0.31728583574295044,0.36526814103126526
83.0,0.31728583574295044,0.36526814103126526
84.0,0.31728583574295044,0.36526814103126526
85.0,0.31728583574295044,0.36526814103126526
86.0,0.31728583574295044,0.36526814103126526
87.0,0.31728583574295044,0.36526814103126526
88.0,0.31728583574295044,0.36526814103126526
89.0,0.31728583574295044,0.36526814103126526
90.0,0.31728583574295044,0.36526814103126526
91.0,0.31728583574295044,0.36526814103126526
92.0,0.31728583574295044,0.36526814103126526
93.0,0.31728583574295044,0.36526814103126526
94.0,0.31728583574295044,0.36526814103126526
95.0,0.31728583574295044,0.36526814103126526
96.0,0.31728583574295044,0.36526814103126526
97.0,0.31728583574295044,0.36526814103126526
98.0,0.31728583574295044,0.36526814103126526
99.0,0.31728583574295044,0.36526814103126526
