Distance,Velocity,Y-H2,Y-H,Y-O,Y-O2,Y-OH,Y-H2O,Y-HO2,Y-H2O2,Y-AR,Y-N2,Y_dot_net-H2,Y_dot_net-H,Y_dot_net-O,Y_dot_net-O2,Y_dot_net-OH,Y_dot_net-H2O,Y_dot_net-HO2,Y_dot_net-H2O2,Y_dot_net-AR,Y_dot_net-N2,Y_dot_pos-H2,Y_dot_pos-H,Y_dot_pos-O,Y_dot_pos-O2,Y_dot_pos-OH,Y_dot_pos-H2O,Y_dot_pos-HO2,Y_dot_pos-H2O2,Y_dot_pos-AR,Y_dot_pos-N2,Y_dot_neg-H2,Y_dot_neg-H,Y_dot_neg-O,Y_dot_neg-O2,Y_dot_neg-OH,Y_dot_neg-H2O,Y_dot_neg-HO2,Y_dot_neg-H2O2,Y_dot_neg-AR,Y_dot_neg-N2,Cp-H2,Cp-H,Cp-O,Cp-O2,Cp-OH,Cp-H2O,Cp-HO2,Cp-H2O2,Cp-AR,Cp-N2,h-H2,h-H,h-O,h-O2,h-OH,h-H2O,h-HO2,h-H2O2,h-AR,h-N2,Le-H2,Le-H,Le-O,Le-O2,Le-OH,Le-H2O,Le-HO2,Le-H2O2,Le-AR,Le-N2,EnthalpyTot,MixtureFraction,Temperature,Density,MolarWeightMix,Cp,Conductivity,ViscosityDyn,Heat_Release
0.0,3.340776921865814,0.015100808729758174,4.777162732284175e-17,-4.845305041906253e-16,0.22948123100794604,-2.0490320402480586e-20,1.0177879915892527e-15,-6.699064736146769e-16,-3.472096499867999e-17,0.0,0.7554179602622959,6.913386170297788e-13,-1.5917938053461494e-11,5.851873177858877e-12,-4.944872726947043e-10,-5.593348084077107e-12,-7.37679818684241e-15,5.094627409765411e-10,-1.7141000383991538e-17,0.0,0.0,1.3826772340679658e-12,-3.149020679840004e-11,1.1412001384467372e-11,-9.889745453891521e-10,-5.5863840426336854e-12,-7.3767981868424e-15,5.094627576106194e-10,-1.714059363043455e-17,0.0,0.0,-4.578156236215321e-11,1.5572194354032023,-0.5560397624834961,2.1548048635654117e-09,-0.0006964041457691439,-1.1618748267802627e-18,-1.6635192644581703e-06,-4.067549692788968e-11,0.0,0.0,14511.218402248553,20621.187049662687,1321.2076644868373,1002.6496803904539,1736.5905335270859,2016.1344532396422,1267.066423797377,1572.1544834523406,520.30429400208,1073.9812441182646,4376271.890123046,222491554.4778667,15978043.706290917,288918.70353462576,2838469.7448182646,-12840633.607102407,731136.6621159579,-3567581.0809865757,157053.85114452784,317928.71025503497,0.38974182378934635,0.2645932727529457,0.9691009389976447,1.542816966538831,0.9871081579934301,1.2187267714918766,1.4926799681848713,1.502595073032212,1.5335695043161477,1.5509016512393259,372555.7223201816,0.015100808729719235,600.0,0.4879172602043865,24.022323142686123,1260.5251372456114,0.07263154200382256,3.0277329378941268e-05,0.003231241309666833
0.002,3.3407768558807867,0.015100806945453687,-2.5362157352524884e-21,-3.256582517380009e-17,0.22948123143181776,-1.1660292994024296e-18,7.119762950897166e-14,8.125426412803139e-15,7.52420516094369e-17,0.0,0.7554179616226492,8.394620458027707e-14,-4.114636393273433e-14,3.736867803779763e-13,-1.341880839264012e-13,-9.653142341392892e-16,-4.1978660977960535e-13,1.3824547607884981e-13,2.0791083577696188e-16,0.0,0.0,1.678924091605596e-13,-4.031962562205899e-14,7.473890496195179e-13,-2.6837616950073555e-13,3.9533281912815044e-13,-4.197866097796052e-13,1.3804372409632648e-13,2.079099547897524e-16,0.0,0.0,-5.559054216633447e-12,-8.267383108850142e-05,-0.03737034862377816,5.847453612273129e-13,-0.03962981795718186,-1.844409171818612e-17,2.0158818352825496e-05,8.80980580806087e-11,0.0,0.0,14511.21840224878,20621.187049662687,1321.2076644860451,1002.6496803950484,1736.5905335280283,2016.134453249379,1267.0664238067332,1572.1544834659942,520.30429400208,1073.9812441211109,4376271.890342958,222491554.4781792,15978043.70631094,288918.70354982046,2838469.7448445815,-12840633.607071854,731136.6621351595,-3567581.0809627506,157053.8511524128,317928.71027131064,0.38974181664841406,0.2645932647478362,0.9691009156522228,1.542816929177107,0.9871081343262158,1.218726742828751,1.492679933726971,1.5025950384022293,1.5335694693284052,1.550901592662007,372555.715084744,0.015100806944418722,600.0000000151545,0.4879172698414273,24.022323617766975,1260.5251132425283,0.07263153929131527,3.027732941715134e-05,-2.6325878362549895e-06
0.00475,3.340774023912304,0.015100730249910497,1.1509107134052764e-19,1.8289638225477433e-17,0.22948124964849956,6.811433110047128e-19,8.127074858598137e-12,1.2096442876810202e-12,1.5468024921207583e-14,0.0,0.7554180200922378,-6.58304299798715e-14,-4.6014395690064346e-15,-2.091753178288606e-13,-1.3513566526266921e-12,-7.650575492058269e-15,2.4522014769377105e-13,1.3624367224319604e-12,3.095754537075738e-14,0.0,0.0,-1.3166085999648084e-13,-4.2118101103324044e-14,-4.190535069430276e-13,-2.7027189354412034e-12,-2.3914982895507074e-13,2.4522014769375813e-13,1.3323906144763814e-12,3.095736425788249e-14,0.0,0.0,4.359420298459097e-12,0.0037516661102534343,0.0209877805255254,5.8887699314237175e-12,0.023149923769459676,7.111332264136658e-16,0.0026803801427132336,1.808331617058334e-08,0.0,0.0,14511.218402269638,20621.187049662687,1321.2076644117392,1002.6496808259005,1736.590533616385,2016.1344541623662,1267.0664246840793,1572.1544847463394,520.30429400208,1073.9812443880305,4376271.910964456,222491554.50748348,15978043.708188476,288918.7049746587,2838469.7473124037,-12840633.604206782,731136.6639357534,-3567581.078728605,157053.85189180318,317928.7117975163,0.38974150970195365,0.2645929206459823,0.9690999121551028,1.5428153231766035,0.9871071169969581,1.218725510544621,1.4926784525432228,1.5025935498210397,1.5335679653499539,1.5508990747571818,372555.4049851738,0.015100730206333913,600.0000014362274,0.48791768344776215,24.022344038330676,1260.5240816755543,0.07263142276941471,3.0277331085727988e-05,7.32933199830271e-06
0.00575,3.340748476243735,0.0151000360891829,4.0376579297383694e-17,7.583953766337679e-15,0.22948141445338846,2.822729836068574e-16,2.004141693287946e-10,3.617301606888054e-11,4.65666746875143e-13,0.0,0.7554185492203681,-2.2402637342303928e-11,-1.9605697941229212e-12,-8.677858606225844e-11,-4.179671049225375e-10,-3.162565700856753e-12,1.0161872528168323e-10,4.2972205292606976e-10,9.306856143265303e-13,0.0,0.0,-4.4805275070028805e-11,-1.5122458660180113e-11,-1.7380375991233786e-10,-8.359391356486512e-10,-9.909538022297374e-11,1.0161872528155613e-10,4.288138439777149e-10,9.306801505545399e-13,0.0,0.0,1.4836148457245833e-09,1.3161835723066813,8.695922437635671,1.8213763920859787e-09,9.593010667437412,6.040285283108283e-13,0.019669690777835157,5.220663071358402e-07,0.0,0.0,14511.21840267968,20621.187049662687,1321.2076629514997,1002.6496892928891,1736.5905353527517,2016.1344721041435,1267.0664419254501,1572.154509907328,520.30429400208,1073.981249633464,4376272.316212608,222491555.08336192,15978043.745085236,288918.73297519726,2838469.7958093723,-12840633.547903117,731136.6993205372,-3567581.034823766,157053.86642210287,317928.7417900987,0.38973873141772625,0.2645898059045487,0.9690908288983613,1.5428007859749413,0.9870979085323148,1.2187143523348378,1.4926650450591281,1.5025800753673844,1.5335543511517387,1.550876284382009,372552.6157461371,0.015100035667191144,600.0000293627694,0.48792141469284633,24.02252886212762,1260.5147484172892,0.07263036952749376,3.0277346699770762e-05,0.0030445212276858104
0.006125,3.340655602438227,0.015097495612276055,2.4541872836661173e-15,4.4016610400017214e-13,0.22948201692302486,1.638279392141551e-14,1.9810796656987542e-09,4.2703714939958126e-10,5.561796167971435e-12,0.0,0.7554204850505646,-1.2969698966856737e-09,-1.5156785902734164e-10,-5.035346443745955e-09,-2.5396328425782965e-08,-1.827378676000113e-10,5.897178204244695e-09,2.6154131224685736e-08,1.1641063911512842e-11,0.0,0.0,-2.593940069950195e-09,-9.516208072407492e-10,-1.0085682290564387e-08,-5.079339095558735e-08,-5.749948777409959e-09,5.897178204171756e-09,2.614206507745773e-08,1.1640990840930785e-11,0.0,0.0,8.590631225955564e-08,79.98566484118788,483.7409478459721,1.106712537619739e-07,555.8105180633162,3.663303536925703e-11,0.02760897384715198,4.69551080535167e-06,0.0,0.0,14511.218405824122,20621.187049662687,1321.2076517541045,1002.6497542194129,1736.5905486675658,2016.1346096852278,1267.066574135636,1572.1547028466878,520.30429400208,1073.9812898564921,4376275.423735031,222491559.49931094,15978044.02801685,288918.9476888351,2838470.167693656,-12840633.116155548,731136.9706580278,-3567580.698152815,157053.9778432955,317928.9717791173,0.3897285618248679,0.2645784039427696,0.9690575794301702,1.5427475698003863,0.9870642006925806,1.218673477158415,1.4926159636108725,1.502530748669976,1.533504510102318,1.550792866499741,372542.53478556,0.015097493865001052,600.0002435089795,0.48793497942375075,24.023205287941266,1260.48061553959,0.0726265250990309,3.027740764483066e-05,0.18435241035567596
0.00625,3.3405275905645153,0.015093951565329508,2.6513196084465623e-14,4.2190014697887296e-12,0.2294828552167791,1.570401676086936e-13,7.68647619257793e-09,1.911506588568717e-09,2.5302150136381086e-11,0.0,0.7554231835902087,-1.242661905059972e-08,-2.4304711611771847e-09,-4.823923618243193e-08,-2.743720265868044e-07,-1.7338884516384058e-09,5.651979538367451e-08,2.826192074050298e-07,6.323864394739011e-11,0.0,0.0,-2.4853251476932755e-08,-1.107425855549197e-08,-9.664043192953658e-08,-5.487601746812744e-07,-5.509119685478217e-08,5.6519795380948995e-08,2.825405956897641e-07,6.323799139743221e-11,0.0,0.0,8.23285563380493e-07,862.093055209895,3403.979938390414,1.1956803824116386e-06,5253.233966062563,3.5412472210950014e-10,0.04091149920243257,1.8484708590719955e-05,0.0,0.0,14511.218414286244,20621.187049662683,1321.2076216262783,1002.6499289115498,1736.5905844927192,2016.134979862899,1267.066929861912,1572.155221971617,520.30429400208,1073.981398081252,4376283.78487795,222491571.38092467,15978044.789276553,288919.525400395,2838471.1682906765,-12840631.954489399,731137.700722582,-3567579.792301083,157054.27763470102,317929.59059080173,0.3897143705342885,0.2645624910458071,0.969011178104452,1.542673297861836,0.9870171595686369,1.2186163585386478,1.492547460431816,1.502461902902087,1.5334349395448192,1.5506764707443237,372528.7792653305,0.015093948150274419,600.0008196937409,0.48795367750088897,24.02414894784074,1260.433061189033,0.07262118728173586,3.0277502078819812e-05,1.9694454057962272
0.0063750000000000005,3.3402019987389835,0.015084764136677737,2.474401849146502e-13,3.362162946287942e-11,0.2294850172855935,1.2526885343136871e-12,3.7958341408077823e-08,1.1116312728854044e-08,1.4989440257506284e-10,0.0,0.7554301693180784,-9.903279047752482e-08,-3.116823823594233e-08,-3.8409968992680756e-07,-2.560644577992782e-06,-1.391063190758981e-08,4.5067555635717525e-07,2.6374109974198407e-06,7.693747636304627e-10,0.0,0.0,-1.9806630705693506e-07,-1.1185323539626276e-07,-7.697118913332995e-07,-5.121869107547056e-06,-4.3936862151957993e-07,4.506755562491013e-07,2.6360326845161703e-06,7.693554849434639e-10,0.0,0.0,6.565135232904609e-06,7873.673395927459,8839.931156965042,1.1160748356199786e-05,37809.452231314186,2.846422118513643e-09,0.12387867726352265,0.00012057136890511305,0.0,0.0,14511.2184527027,20621.187049662683,1321.2074849591008,1002.6507213609362,1736.5907470076295,2016.1366590904172,1267.0685435270104,1572.157576855157,520.30429400208,1073.981889020192,4376321.713276279,222491625.27912763,15978048.242555588,288922.1460570332,2838475.7072687647,-12840626.684855925,731141.0124947842,-3567575.683109672,157055.637569334,317932.39768820436,0.3896775600541368,0.2645212096001657,0.9688908107047628,1.5424806079139264,0.9868951319545817,1.2184678853991848,1.4923697289442257,1.5022832809829052,1.5332544090819897,1.550374620687002,372494.33031014405,0.015084757271989482,600.0034334231464,0.4880012415901745,24.026595405805054,1260.310036986517,0.07260745140223611,3.0277784851539603e-05,18.14592865745334
0.0064375000000000005,3.3398554689908226,0.015074685217028858,1.2738242482591206e-12,1.2394716957812445e-10,0.22948736547870663,4.630536681558182e-12,1.0195225855190383e-07,3.3535487149577914e-08,4.602893874093079e-10,0.0,0.7554378132264048,-3.6541861198734416e-07,-2.327392097597968e-07,-1.4136110329566025e-06,-1.318193315560287e-05,-5.2292925888791e-08,1.665230220249381e-06,1.3575491637163954e-05,5.273078782069633e-09,0.0,0.0,-7.308485030795003e-07,-6.481933730375404e-07,-2.83501842509669e-06,-2.6369446218094343e-05,-1.624336236164186e-06,1.6652302191576828e-06,1.3564098528876814e-05,5.2728534644523805e-09,0.0,0.0,2.424129496494836e-05,36851.218728365144,10611.701588147811,5.746509414323486e-05,107449.46303008545,1.0706884149585718e-08,0.3396316242580797,0.00047910419262027514,0.0,0.0,14511.218522980746,20621.187049662687,1321.2072353982944,1002.6521684248758,1736.5910437814339,2016.1397254874528,1267.0714901728295,1572.1618770107557,520.30429400208,1073.9827855192925,4376390.973241148,222491723.70109627,15978054.54848885,288926.9315685948,2838483.995768074,-12840617.062117456,731147.0600382709,-3567568.1794167506,157058.12090711528,317937.5236518862,0.3896371408537366,0.2644758719865011,0.9687586289147085,1.5422689619414216,0.9867611260532279,1.21830432042871,1.492174501176151,1.5020870716828045,1.533056055618736,1.5500432960768482,372458.54028432164,0.015074676352301183,600.0082062797418,0.48805187458617805,24.02927945080428,1260.1755118718643,0.07259255564648767,3.0278159599750452e-05,91.40127984165979
0.0065,3.3392591460509196,0.015056585710173301,6.953108778338214e-12,4.618316309790798e-10,0.22949151028914558,1.7400058002397538e-11,3.036571265966547e-07,1.1373234217591687e-07,1.5945404854638568e-09,0.0,0.7554514845305244,-1.3663054519351673e-06,-1.585402193655439e-06,-5.2552948299989535e-06,-7.193689462270374e-05,-2.1651553038473107e-07,6.253139768954082e-06,7.405356186680962e-05,5.371099291435329e-08,0.0,0.0,-2.732819779681816e-06,-3.854061660790757e-06,-1.0553318935488637e-05,-0.00014394066507040633,-6.119554431411426e-06,6.253139756443721e-06,7.392281869935592e-05,5.3707677143427566e-08,0.0,0.0,9.075857921200213e-05,133819.67265107692,11228.632752950363,0.00031375352558290554,215438.91989243866,4.119761670351172e-08,1.1494678670453813,0.0020664925290235,0.0,0.0,14511.218718396281,20621.187049662683,1321.2065445266107,1002.6561744950563,1736.5918654482512,2016.1482146663657,1267.0796476287744,1572.1737815192444,520.30429400208,1073.985267484923,4376582.715101424,222491996.17612886,15978072.006062435,288940.17999252654,2838506.94196472,-12840590.42209462,731163.8023555807,-3567547.405807577,157064.99587164106,317951.71458240226,0.3895644609504473,0.26439432913911026,0.9685209162565108,1.5418882353847831,0.986520130523115,1.218008903449434,1.4918232841979446,1.501734078179036,1.5326990882695637,1.5494478526616215,372398.99315475323,0.01505657846454386,600.0214196331679,0.4881390305757345,24.034099850257032,1259.9350124799876,0.072566226883253,3.027898964153512e-05,490.428906222314
0.006562499999999999,3.338260479016294,0.015024091244029876,4.3703427581910506e-11,1.723364754606535e-09,0.22949870998236155,6.692318032905771e-11,9.392103904650454e-07,3.979785687954962e-07,5.735088434944122e-09,0.0,0.7554758540156911,-5.168626140784955e-06,-1.1685211262035136e-05,-1.95474017768925e-05,-0.00045190201659158895,-1.1157149899239283e-06,2.402679411820325e-05,0.000464759599835596,6.32576807426241e-07,0.0,0.0,-1.034184939956247e-05,-2.5957035720341404e-05,-3.936698880659265e-05,-0.0009046687789253302,-2.3793347083799527e-05,2.402679396395023e-05,0.00046304158019889997,6.3251912146245e-07,0.0,0.0,0.00034432853017914904,265752.5804388992,11434.169857803005,0.0019728510123164125,294808.82091544423,1.642351694657168e-07,4.316756237234602,0.010040918332972172,0.0,0.0,14511.21926595877,20621.187049662683,1321.2046320182171,1002.667265009266,1736.5941407437513,2016.1717173104444,1267.1022303723162,1572.2067375437362,520.30429400208,1073.9921392866754,4377113.551497984,222492750.52189627,15978120.337220144,288976.8584641712,2838570.468452231,-12840516.668739246,731210.1539397341,-3567489.8933537523,157084.0291766107,317991.00227377814,0.3894336790179852,0.26424756521578946,0.9680931182633452,1.5412027585710162,0.9860864171815139,1.2174737506330198,1.4911908773013536,1.5010984356438055,1.532055966830147,1.548377507765291,372304.741676774,0.01502410381638699,600.0580007361667,0.4882850611831117,24.042755548308044,1259.5062650088532,0.07252011921081591,3.0280914465007917e-05,3039.5216794218036
