epoch,learning_rate,validation_loss_Temperature
0.0,0.002511886414140463,0.0024822864857916766
1.0,0.0024868487380445004,0.002035646125840537
2.0,0.0024620606563985348,0.0029020249802232186
3.0,0.002437519608065486,0.0025543614805719175
4.0,0.0024132230319082737,0.002392906677770486
5.0,0.002389168832451105,0.002020768815215631
6.0,0.0023653542157262564,0.0027716576659848904
7.0,0.0023417770862579346,0.0004240521594792572
8.0,0.002318435115739703,0.002107861888623058
9.0,0.0022953255102038383,0.002251461161558825
10.0,0.0022724466398358345,0.001878871160425685
11.0,0.002249795477837324,0.00021232184506747998
12.0,0.002227370161563158,0.00017986212631207525
13.0,0.0022051683627068996,0.00130590476816548
14.0,0.002183187985792756,0.0007169177406528695
15.0,0.002161426702514291,0.0008972596717388186
16.0,0.0021398821845650673,0.0009475868837525951
17.0,0.0021185525692999363,0.0010726765207151466
18.0,0.0020974355284124613,0.00029996982947500054
19.0,0.0020765289664268494,0.0007757233849010647
20.0,0.0020558307878673077,0.0007567915281038097
21.0,0.0020353388972580433,0.000730694950147314
22.0,0.0020150511991232634,0.00070445885607347
23.0,0.0019949658308178186,0.0005765402484085393
24.0,0.0019750804640352726,0.00047821054974431275
25.0,0.0019553934689611197,0.00036566612554129996
26.0,0.0019359028665348887,0.00021429292686561812
27.0,0.0019166063284501433,0.00024170839058870313
28.0,0.0018975022248923779,0.00027575168274367005
29.0,0.0018785884603857994,0.0002195189852735464
30.0,0.0018598632887005806,0.0002456056939085365
31.0,0.0018413248471915722,0.0001613873228765939
32.0,0.0018229710403829813,0.0001389513672337556
33.0,0.0018048001220449805,0.00028432405114052294
34.0,0.0017868105787783861,0.00023963309353885873
35.0,0.0017690001986920834,0.00015868942936920309
36.0,0.0017513673519715667,0.0001776619676909552
37.0,0.0017339102923870087,0.00022929783867013832
38.0,0.00171662715729326,0.00024917855825343287
39.0,0.0016995162004604936,0.0002798795472037134
40.0,0.0016825760249048471,0.0002981691014186132
41.0,0.0016658046515658498,0.0003050943806049858
42.0,0.001649200450628996,0.0003034242815905176
43.0,0.00163276179227978,0.00029405201809543406
44.0,0.0016164868138730526,0.00027853967196340003
45.0,0.001600374118424952,0.00025921593757960584
46.0,0.0015844221925362945,0.00023818901175128645
47.0,0.0015686291735619307,0.0002168703492981676
48.0,0.0015529935481026769,0.0001962942020712537
49.0,0.0015375136863440275,0.00017733613941307627
50.0,0.0015221883077174425,0.0001601561511804293
51.0,0.0015070155495777726,0.0001433402284382343
52.0,0.0014919941313564777,0.00012552392587295374
53.0,0.0014771223068237305,0.00010721198591878106
54.0,0.0014623987954109907,8.886883140099516e-05
55.0,0.0014478220837190747,7.430604226380348e-05
56.0,0.0014333907747641206,6.370625337765935e-05
57.0,0.0014191031223163009,5.142328012506975e-05
58.0,0.0014049579622223973,3.921082803958941e-05
59.0,0.0013909537810832262,2.712414534173661e-05
60.0,0.0013770891819149256,2.0099097205559986e-05
61.0,0.0013633627677336335,1.86631725746238e-05
62.0,0.00134977325797081,1.8734765376851575e-05
63.0,0.001336319139227271,1.804788841518694e-05
64.0,0.0013229991309344769,1.767545692598109e-05
65.0,0.0013098117196932435,1.738004911414696e-05
66.0,0.0012967559741809964,1.7708748414365672e-05
67.0,0.0012838303809985518,1.8287032941968302e-05
68.0,0.0012710335431620479,1.926456989627702e-05
69.0,0.0012583641801029444,2.0244957156415184e-05
70.0,0.001245821244083345,2.0929772124258274e-05
71.0,0.0012334032217040658,2.1743309205883643e-05
72.0,0.0012211090652272105,2.1994539492104696e-05
73.0,0.001208937494084239,2.2198329416941882e-05
74.0,0.0011968871112912893,2.2924974607628724e-05
75.0,0.0011849569855257869,2.4102414394246708e-05
76.0,0.0011731457198038697,2.5412747931168916e-05
77.0,0.0011614520335569978,2.654719581837296e-05
78.0,0.0011498751118779182,2.733937689633761e-05
79.0,0.0011384135577827692,2.7785371806840587e-05
80.0,0.0011270662071183324,2.7943907745396157e-05
81.0,0.0011158318957313895,2.7859508196799704e-05
82.0,0.001104709692299366,2.7575845990436006e-05
83.0,0.0010936983162537217,2.7168647642630522e-05
84.0,0.0010827966034412384,2.6726068869010475e-05
85.0,0.0010720036225393414,2.6309819002020775e-05
86.0,0.0010613182093948126,2.595361024329621e-05
87.0,0.0010507393162697554,2.5684634200598538e-05
88.0,0.0010402658954262733,2.553827927034654e-05
89.0,0.0010298967827111483,2.555498802146655e-05
90.0,0.0010196310468018055,2.5763195546292267e-05
91.0,0.0010094677563756704,2.6160168833604656e-05
92.0,0.000999405630864203,2.6701643871544793e-05
93.0,0.0009894438553601503,2.731019393104302e-05
94.0,0.000979581498540938,2.790218717952063e-05
95.0,0.0009698172216303647,2.8416140615420028e-05
96.0,0.0009601504425518215,2.8823688580302293e-05
97.0,0.0009505799389444292,2.9122336248156787e-05
98.0,0.0009411048959009349,2.9322958716000998e-05
99.0,0.0009317242656834424,2.94409211379469e-05
