Distance,Velocity,Y-H2,Y-H,Y-O,Y-O2,Y-OH,Y-H2O,Y-HO2,Y-H2O2,Y-AR,Y-N2,Y_dot_net-H2,Y_dot_net-H,Y_dot_net-O,Y_dot_net-O2,Y_dot_net-OH,Y_dot_net-H2O,Y_dot_net-HO2,Y_dot_net-H2O2,Y_dot_net-AR,Y_dot_net-N2,Y_dot_pos-H2,Y_dot_pos-H,Y_dot_pos-O,Y_dot_pos-O2,Y_dot_pos-OH,Y_dot_pos-H2O,Y_dot_pos-HO2,Y_dot_pos-H2O2,Y_dot_pos-AR,Y_dot_pos-N2,Y_dot_neg-H2,Y_dot_neg-H,Y_dot_neg-O,Y_dot_neg-O2,Y_dot_neg-OH,Y_dot_neg-H2O,Y_dot_neg-HO2,Y_dot_neg-H2O2,Y_dot_neg-AR,Y_dot_neg-N2,Cp-H2,Cp-H,Cp-O,Cp-O2,Cp-OH,Cp-H2O,Cp-HO2,Cp-H2O2,Cp-AR,Cp-N2,h-H2,h-H,h-O,h-O2,h-OH,h-H2O,h-HO2,h-H2O2,h-AR,h-N2,Le-H2,Le-H,Le-O,Le-O2,Le-OH,Le-H2O,Le-HO2,Le-H2O2,Le-AR,Le-N2,EnthalpyTot,MixtureFraction,Temperature,Density,MolarWeightMix,Cp,Conductivity,ViscosityDyn,Heat_Release
0.0,0.7454058910936733,0.011288669720529535,-1.2287919068927026e-21,-1.3075735698190403e-17,0.23036945512106177,-3.499438383115212e-22,3.6079477059244965e-11,8.383852777613929e-14,3.2261445110292005e-14,5.713177809001223e-23,0.7583418751222132,4.749241207243784e-15,-1.4468148743614909e-15,3.7661831806965344e-14,2.943690666281228e-14,-3.997668693942891e-14,-6.315167448182604e-17,-3.040585928017652e-14,4.453309142736788e-17,0.0,0.0,9.498482414523258e-15,-5.190091453304169e-16,7.53244301701281e-14,5.887376189644539e-14,-3.991706881413264e-14,-6.31516744787881e-17,-3.044912584518898e-14,4.453292878940364e-17,0.0,0.0,-4.207086681290209e-13,-9.278057291450818e-05,-0.0037662647609845346,-1.2778106896544033e-13,-5.961812529835549e-06,-6.59281219058261e-17,4.290684037956262e-06,1.621149579511328e-11,0.0,0.0,14532.565336431486,20621.187049678312,1328.0100526133474,971.420133293821,1733.5641236740587,1954.7070137800572,1199.8427685522684,1473.9857087345679,520.30429400208,1057.895521654495,2924338.0365795707,220429435.77289984,15845615.090364,190205.26359679917,2665018.5619834755,-13039122.85781624,607707.0468555521,-3720018.0196056142,105023.42174431987,211379.41784491544,0.3722421173637843,0.24807786409512234,0.9171373615946146,1.4622494680136138,0.9344111515947608,1.1855073139427499,1.4185052650446952,1.4280460221406295,1.4609949451946647,1.4251291636813095,237127.23280232213,0.011288670110994551,500.0,0.6113298249046516,25.082057619205,1190.0853307210525,0.05794721063264338,2.6800569641565113e-05,-1.7298305613559205e-07
0.002,0.7453966998315055,0.011287598774441092,-1.9282234476997957e-22,-7.293632893837774e-19,0.2303696795482572,-1.2877189409536823e-20,8.368362573352439e-10,2.2867008065382064e-12,8.964003586266696e-13,5.713183012042115e-23,0.7583427208372828,4.518657260154737e-16,-8.033794174440462e-17,2.1005498575072767e-15,4.6449427029671705e-15,-3.9477289449435433e-17,-2.323684928747782e-15,-6.0079700888098476e-15,1.254111962261549e-15,0.0,0.0,9.037314521837062e-16,6.525697285358319e-17,4.2012200065696644e-15,9.251261402328883e-15,2.154189631452739e-15,-2.32368492874427e-15,-7.264761747212864e-15,1.2541074323588527e-15,0.0,0.0,-4.0032050642257724e-14,-1.455949146007952e-05,-0.00021006703022775683,-1.9995334056957957e-14,-0.0002193666923727001,-4.147363569049521e-18,0.00010228878184567092,4.157246932111582e-10,0.0,0.0,14532.565327961833,20621.187049678312,1328.0100498425868,971.4201428311798,1733.564123493771,1954.7070313147296,1199.842790288739,1473.985740730046,520.30429400208,1057.89552573451,2924338.4768806114,220429436.39767113,15845615.130599443,190205.29302844394,2665018.614506211,-13039122.798593413,607707.083207842,-3720017.9749474647,105023.43750826226,211379.44989655176,0.3722366386708904,0.2480724013007609,0.9171206633092727,1.462222718009451,0.9343942037587982,1.185486183601515,1.4184803147800027,1.428020936954771,1.4609694923135368,1.4250905240427052,237124.34806111702,0.011287602237607074,500.00003029754424,0.6113373622896113,25.082368388051716,1190.0708865830593,0.057945656576500706,2.6800588238517095e-05,-3.9657758800586537e-08
0.004,0.7453165396034495,0.011278200363919058,7.176740608439632e-20,1.4330432193752922e-16,0.2303716424310611,2.6191857834103843e-18,1.94081746308674e-08,6.298461019491167e-11,2.486155880350628e-11,5.713229041477633e-23,0.7583501377090086,-1.068149325333283e-13,-7.931117442782618e-16,-4.1244352800127256e-13,-1.691247544858614e-12,-7.388540227110216e-15,4.723421804922521e-13,1.68179698859912e-12,6.454848827323113e-14,0.0,0.0,-2.1362986663303382e-13,-5.4993690724138124e-14,-8.249318403276476e-13,-3.411808655053125e-12,-4.533015810769442e-13,4.723421804740301e-13,1.5889241800204688e-12,6.45483569682921e-14,0.0,0.0,9.470920054472168e-12,0.005420057859087637,0.04124824012752925,7.468632388791968e-12,0.04459129240569549,9.383990364840126e-16,0.001272498521683222,3.766467810132918e-09,0.0,0.0,14532.565160919647,20621.187049678316,1328.009995196711,971.4203309306334,1733.5641199382208,1954.7073771404137,1199.8432189835955,1473.9863717568544,520.30429400208,1057.8956062022185,2924347.1606660257,220429448.71965015,15845615.924138222,190205.87349065018,2665019.6503796843,-13039121.630578158,607707.8001617319,-3720017.094182206,105023.74841076038,211380.08203120469,0.372188545469099,0.24802444679947003,0.9169740802649051,1.4619878876003134,0.9342454297720905,1.185300566576149,1.4182612785433346,1.4278007160639412,1.4607460312035425,1.4247513888034338,237099.27388527401,0.01127823160140774,500.000627837295,0.6114031073935421,25.08509580189218,1189.9441955087036,0.05793204625343652,2.6800763524678284e-05,1.2740994160002063e-05
0.005,0.7450464912305661,0.01124610429865181,6.292331419338756e-18,1.279416200852657e-14,0.23037829202124757,2.3385614858695766e-16,1.8320853140892088e-07,6.97534021350008e-10,2.770347121139807e-10,5.713386746304794e-23,0.7583754194970547,-9.362531008826387e-12,-7.405490536979732e-14,-3.674952357346764e-11,-1.4735160513689483e-10,-6.576830918335092e-13,4.208585104800547e-11,1.4791650117047226e-10,4.193045497914461e-12,0.0,0.0,-1.872506353971182e-11,-4.82937607831025e-12,-7.350297868396768e-11,-2.9830466486034657e-10,-4.038868708535997e-11,4.208585103283474e-11,1.401327261809038e-10,4.193038497347699e-12,0.0,0.0,8.325133996563312e-10,0.4755318180736653,3.6706492229664947,6.552399464050939e-10,3.973007488129699,8.28012424585652e-14,0.011001273090326667,2.4389268845387394e-08,0.0,0.0,14532.563904039807,20621.187049678312,1328.0095840401827,971.4217462207656,1733.5640931951516,1954.709979195641,1199.8464445415239,1473.9911196837816,520.30429400208,1057.8962116591886,2924412.498789575,220429541.43210047,15845621.894844048,190210.2409804827,2665027.444449721,-13039112.842246491,607713.1946404339,-3720010.4671578724,105026.08768860558,211384.83831034898,0.37202411374211203,0.24786052761510888,0.9164729743826598,1.4611850297622815,0.9337368303640443,1.1846650605116553,1.417512360479852,1.4270477453224977,1.4599818867216474,1.4235926887123,237015.23436144862,0.011246236919748753,500.00512381757454,0.6116247005877418,25.094413135899398,1189.5120547845165,0.05788576293663175,2.680145124877121e-05,0.0011302728992583307
0.0055,0.744532107034273,0.011183308854078972,1.5616509543202932e-16,3.192145470206677e-13,0.2303910861712093,5.837109228934255e-15,9.462183098993064e-07,4.170505202609884e-09,1.6662935464559874e-09,5.713693973195639e-23,0.7584246529195653,-2.3230504244493028e-10,-2.0131552601368572e-12,-9.135903340969948e-10,-3.6216604276494647e-09,-1.6335026077744725e-11,1.0462454874637378e-09,3.6005820419263225e-09,1.3907645613920824e-10,0.0,0.0,-4.6461031106497265e-10,-1.2017894488607463e-10,-1.8272786381979954e-09,-7.3727064051166936e-09,-1.0040392880311506e-09,1.0462454855076935e-09,3.3321536042256536e-09,1.3907560616411807e-10,0.0,0.0,2.0772498680261963e-08,11.816394431757367,88.54242732697112,1.628121139425039e-08,98.7128064519851,2.0672013711165016e-12,0.0642095691049706,5.070562324648307e-07,0.0,0.0,14532.55885598655,20621.18704967831,1328.0079329963942,971.4274299440563,1733.563985964602,1954.7204290396123,1199.8593980143269,1474.0101867476126,520.30429400208,1057.898643231236,2924674.891924462,220429913.7586142,15845645.872749398,190227.78056874295,2665058.744871647,-13039077.548822517,607734.8586238977,-3719983.853291113,105035.48205971664,211403.93921177398,0.3717015362933235,0.24753917180644897,0.9154902845653174,1.4596103346440428,0.9327394294786255,1.1834151662071384,1.4160432033304522,1.4255706285033052,1.4584824865414248,1.4213233737114723,236855.94534901457,0.011183665981135037,500.0231793501145,0.6120472378178743,25.112656262373758,1188.6685832174762,0.057795936532457265,2.6803131771414378e-05,0.028303318500512452
0.00575,0.7439289011023864,0.011106235224133208,1.256152798981773e-15,2.5764822207678504e-12,0.2304063149009456,4.7172275293827384e-14,2.9132517058263918e-06,1.4533530195362487e-08,5.838661197820754e-09,5.7140654921625e-23,0.7584845162488025,-1.866747913552474e-09,-1.8434817528681405e-11,-7.346412561091903e-09,-2.8630409373681032e-08,-1.3201941429335897e-10,8.414082928523318e-09,2.7907589117738627e-08,1.672352033885506e-09,0.0,0.0,-3.733502177910226e-09,-9.702467701177567e-10,-1.4693620305570638e-08,-5.8844366446406287e-08,-8.075298682283233e-09,8.41408287977893e-09,2.4651026320127085e-08,1.6723281503896285e-09,0.0,0.0,1.680816428793608e-07,95.16924054811837,584.2021334349055,1.3113337229668926e-07,790.5984938192547,1.673189497258374e-11,0.22391831652056304,4.08358341673358e-06,0.0,0.0,14532.547439438467,20621.187049678298,1328.004200804352,971.4402808107611,1733.563744508951,1954.7440569093953,1199.8886846745108,1474.0532952894732,520.30429400208,1057.9041415445686,2925268.155507751,220430755.5789879,15845700.086047627,190267.43749097042,2665129.514288418,-13038997.750631314,607783.8411781717,-3719923.678775063,105056.72248366105,211447.126005201,0.37130402666336704,0.24714352041453802,0.9142799015016074,1.4576702721656403,0.9315108964801945,1.181868338738496,1.4142326735318236,1.4237502710702399,1.4566339465333837,1.4185339973223954,236668.90769959067,0.011106925305101413,500.06400243035677,0.6125434858484441,25.135069528679104,1187.6374972633664,0.057687161851439295,2.6805868061505142e-05,0.2307031211941969
0.006,0.7428274536286299,0.010954601475650331,8.841980866352609e-15,1.8293894814207714e-11,0.23043473622150198,3.3663798573745004e-13,1.0322598430168674e-05,5.916309950850422e-08,2.391850391743453e-08,5.714777140428342e-23,0.7586002566055295,-1.3169506092192232e-08,-1.303453846865219e-10,-5.1916705302170556e-08,-1.8663121340689065e-07,-9.498102475084804e-10,5.9487221179827394e-08,1.656232360307651e-07,2.7687123222855984e-08,0.0,0.0,-2.6339194755377763e-08,-6.845535245371624e-09,-1.0383919468142351e-07,-3.9978682387691497e-07,-5.710831044903531e-08,5.9487219944016925e-08,1.113869215070423e-07,2.7686425447379367e-08,0.0,0.0,1.2022060939813091e-06,670.9257547998418,1835.1128298243407,9.250150995285775e-07,5432.956080982486,1.1971881633533599e-10,0.9165704513404456,2.9160848460263997e-05,0.0,0.0,14532.509099123365,20621.18704967827,1327.991684799584,971.4834047323855,1733.5629443013365,1954.8233538668835,1199.9869516936897,1474.1979354335224,520.30429400208,1057.9225978494376,2927258.923564152,220433580.4143979,15845882.004557045,190400.51517490385,2665366.990002372,-13038729.970594559,607948.2171102375,-3719721.742667655,105127.99742967423,211592.0464279727,0.37051680563641193,0.24636122047838382,0.9118848988881743,1.453829982946595,0.929079882343739,1.178785408369336,1.4106471941841037,1.4201452694279535,1.4529709475326298,1.4130335223425616,236320.98184752787,0.010956132335173417,500.2009894720453,0.6134517151806992,25.1792334374882,1185.6220070697048,0.05747758131619912,2.6813291328395065e-05,1.7059511692605116
0.006125,0.7419862370042319,0.010823922468766213,2.976510123946803e-14,6.160735665368139e-11,0.23045708259609474,1.1438291840993607e-12,2.1707953938489074e-05,1.3675118772126231e-07,5.552919922776874e-08,5.715364284080806e-23,0.7586970946396532,-4.4233178539343326e-08,-5.214248510130567e-10,-1.7483509034816032e-07,-5.753637375711516e-07,-3.3860786169978758e-09,2.0057244718506334e-07,4.496930515096435e-07,1.4807401123195925e-07,0.0,0.0,-8.846778147939603e-08,-2.3160152826244346e-08,-3.4969066327501145e-07,-1.2939173540319137e-06,-1.9273418785250086e-07,2.0057243835469751e-07,1.5823064101775154e-07,1.4806851938307526e-07,0.0,0.0,4.086744248845993e-06,2257.1543547349497,2441.86604698334,3.1179498079863277e-06,16991.296807176073,4.067800120246333e-10,2.131177824266425,9.888239226271125e-05,0.0,0.0,14532.455866896522,20621.187049678218,1327.9743526912946,971.5431943763065,1733.5618604472777,1954.9333175010406,1200.1231674898152,1474.3984222151987,520.30429400208,1057.9482008317552,2930018.89687964,220437496.73950118,15846134.211823914,190585.0225901618,2665696.2239076993,-13038358.704911781,608176.1286146407,-3719441.7475844854,105226.81234091321,211792.96691554264,0.3698328265475333,0.24568260192117425,0.909805645446107,1.4504941761037307,0.9269692534512406,1.1760809840309459,1.4075308940303008,1.4170119307134907,1.4497845042481572,1.4082805680115225,236039.51585525434,0.01082643636897361,500.3909070114123,0.6141471839908447,25.217350028435686,1183.902095703661,0.05730263515605106,2.6822269783863342e-05,6.026083505080698
0.00625,0.740942796290115,0.01063053454994536,9.788396460657502e-14,2.023169116989517e-10,0.23048574797497573,3.8386111983301035e-12,4.878951907496988e-05,3.4224061005809695e-07,1.3961949391157132e-07,5.716184092009363e-23,0.75883444589388,-1.454812585203526e-07,-1.7927920372089207e-09,-5.793156482338452e-07,-1.4594461048913572e-06,-1.2110568234660882e-08,6.659228485710519e-07,6.036888104712884e-07,9.285347128750848e-07,0.0,0.0,-2.9097428355398437e-07,-7.633211486209272e-08,-1.1587071173097709e-06,-3.82487239068668e-06,-6.407593682553721e-07,6.65922782251326e-07,-1.2324765234773976e-06,9.284887509899143e-07,0.0,0.0,1.3686331972602095e-05,7381.677496606879,2728.8992875775066,1.0262787640776444e-05,45427.15963409464,1.3593024389078517e-09,5.36497315121512,0.00032917031984381527,0.0,0.0,14532.339106962227,20621.187049678123,1327.9365179810902,971.6740012670834,1733.55959281286,1955.1739814274688,1200.4210666059596,1474.8368372626444,520.30429400208,1058.0042716030446,2936056.527409323,220446064.01880252,15846685.924245117,190988.68714143848,2666416.449120426,-13037546.458239641,608674.7937264972,-3718829.1028696606,105442.97798635508,212232.5137673807,0.3688111071214164,0.24467052183465482,0.9067019921886732,1.4455116132988648,0.923818568002502,1.171992510284733,1.4028729477497328,1.4123283872387407,1.4450166613155018,1.401227070073018,235644.9594595525,0.010635032147439907,500.8063670564932,0.6150120379524211,25.2738283072694,1181.3896361576294,0.05705433215722708,2.6840371913415138e-05,22.08122961626391
0.0063125,0.7404004562121881,0.010499162964011714,1.9227714661735157e-13,3.924657326947847e-10,0.23050118344055012,7.637325334287823e-12,7.631859966396904e-05,5.720496497467672e-07,2.338994248414205e-07,5.716699962584096e-23,0.7589225286509725,-2.843162991089217e-07,-4.252032325992768e-09,-1.1402670560404865e-06,-2.0992324297796616e-06,-2.812742255301012e-08,1.3161261390961163e-06,-3.544677992171336e-07,2.5945368999290906e-06,0.0,0.0,-5.686713212396353e-07,-1.5068164630834129e-07,-2.280701204489951e-06,-6.745021866640805e-06,-1.2705678707617718e-06,1.3161259347542655e-06,-5.500958010397669e-06,2.5943854823346315e-06,0.0,0.0,2.708358969515662e-05,14366.722163844031,2833.618009696066,2.015516522438078e-05,70443.81303061846,2.6774839245653205e-09,8.996422337178869,0.0006473343028477749,0.0,0.0,14532.228140664096,20621.18704967803,1327.9007873106893,971.7979009091349,1733.5575758410491,1955.402047565239,1200.7030938902687,1475.2518405146345,520.30429400208,1058.05745380786,2941774.596700731,220454177.91055018,15847208.425113013,191371.03953878672,2667098.558572795,-13036777.10412069,609147.1831579333,-3718248.7119252123,105647.70396586465,212648.82092822503,0.36811048737322566,0.24397722932034208,0.9045744704367298,1.4420934329676267,0.9216586586669012,1.1691476436816526,1.399675068323268,1.4091128340011791,1.4417392763409136,1.3964238656158356,235385.93935330975,0.010505492171867636,501.199840610084,0.6154625199860017,25.312212486184094,1179.7107020122498,0.05689449839779968,2.685664489535225e-05,47.34167301877408
